,보증금,월세
0,15000,630
1,30000,2200
2,18000,1300
3,5000,500
4,15000,630
5,30000,2200
6,30000,1800
7,48000,3100
8,10000,400
9,48000,3100
10,3000,150
11,20000,600
12,30000,1800
13,20000,900
14,5000,330
