,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,구_동,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
256,2021,1,D,발달상권,2120206,강남구 역삼동,개나리아파트,CS100010,커피-음료,541796346,87443,96,4,19,18,20,18,20,3,1,1,43,36,15,6,1,37,64,0,15,31,37,15,3,519128562,22667784,101528520,98895355,110758784,98097221,109848682,14900482,7767302,3344220,230703422,194122706,79060643,29969178,4596177,153909001,267275780,1545472,62661920,129243921,154108332,63297193,10327947,84226,3217,17195,17673,18238,15328,15792,2097,1120,81,47408,28194,8892,2775,93,28515,54321,272,13872,26304,29995,11050,1350,43
257,2021,2,D,발달상권,2120206,강남구 역삼동,개나리아파트,CS100010,커피-음료,666896771,106062,95,5,19,21,17,19,19,3,2,0,43,35,16,5,0,38,62,0,15,29,36,17,3,634238219,32658552,123997643,141417262,115368262,124651359,128803693,20149919,12508633,1203008,287987607,233763690,106796991,34438976,2706499,192659857,319443902,1850190,78186878,149066738,183987646,85475979,13536329,101220,4842,21100,20292,18542,20541,20745,3029,1813,50,53942,35996,11792,4182,100,36842,63794,375,17868,29475,36109,14637,2171,51
258,2021,3,D,발달상권,2120206,강남구 역삼동,개나리아파트,CS100010,커피-음료,681022372,106483,92,8,15,18,18,22,19,3,5,1,41,34,16,5,4,36,64,1,14,28,39,16,3,625286191,55736181,102821908,121292825,122495287,151072840,127603331,22242622,33493559,4319407,278072615,231516191,108498310,31807217,26808632,195616295,350419538,3186649,77427273,150245228,211809835,88545316,14821534,101384,5099,18620,19072,19183,23620,20889,3449,1650,137,56327,34901,11671,3283,164,35800,65420,764,16953,28907,36964,15420,2211,51
259,2021,4,D,발달상권,2120206,강남구 역삼동,개나리아파트,CS100010,커피-음료,630824627,103441,94,6,15,20,20,20,19,4,2,0,43,36,16,4,0,38,62,0,16,27,37,17,3,592015148,38809479,96851516,127198184,124726823,124350870,118887755,23544086,15265393,2063494,273642029,228491333,99322933,24500139,2804699,191993064,318359190,951846,80033722,137866278,188090186,88138995,15271226,98192,5249,17351,20132,19852,19960,20897,3215,2034,62,55845,32253,12245,2938,98,34045,64148,193,16375,27813,36928,14794,2091,50
260,2021,1,D,발달상권,2120198,강남구 역삼동,구역삼세무서,CS100010,커피-음료,1499287837,195698,85,15,16,17,19,17,16,8,7,1,17,42,21,17,2,52,48,1,26,37,21,11,5,1271827046,227460791,238673616,257120318,279527728,253149240,243356144,118162550,109298241,9002076,257250425,636188040,313677540,252322342,30847414,615625822,574162715,6189006,303686856,437816279,252281970,131628106,58186331,169383,26315,33668,35944,35787,31906,32078,14082,12233,389,48061,79082,39082,26472,2612,90671,87658,1117,52622,67929,33771,16313,6583,115
261,2021,2,D,발달상권,2120198,강남구 역삼동,구역삼세무서,CS100010,커피-음료,2108928621,262223,87,13,16,19,16,18,18,7,6,0,17,45,18,17,3,49,51,0,28,34,21,12,5,1833192690,275735931,341837275,390426283,335061492,389050547,376817093,149653744,126082187,5959384,359334549,940333174,373584381,366607668,63109465,786893836,828653719,5289508,447603637,556181456,341192036,192738898,72542024,229396,32827,45205,45747,44202,48104,46138,17446,15381,297,60739,110552,49537,36337,4761,113651,121841,1018,74172,83555,45957,22657,8130,122
262,2021,3,D,발달상권,2120198,강남구 역삼동,구역삼세무서,CS100010,커피-음료,1788553557,231005,85,15,14,17,16,20,19,8,6,0,19,41,21,16,2,49,51,1,28,35,21,11,5,1527194930,261358627,253126377,300656525,292458558,350403648,330549822,149600534,111758093,3449038,341871294,730550422,377136422,294046706,41499675,677040186,696414702,6609359,382450325,481749993,288295039,149127509,65222665,198479,32526,35507,37549,39636,44614,41173,17744,14782,393,58948,87871,46312,33020,4461,103514,104643,1190,61790,76091,42095,18972,8017,109
263,2021,4,D,발달상권,2120198,강남구 역삼동,구역삼세무서,CS100010,커피-음료,1773483388,224734,88,12,14,17,19,18,21,7,6,0,18,45,20,13,3,50,50,1,30,37,20,9,5,1553880559,219602829,242384188,298324869,337405274,311574015,364192213,118431957,101170872,3249936,326839114,791613600,362189835,229707113,59883790,665355772,668532776,8111551,393968970,486437167,266294510,118558219,60518130,195413,29321,34236,40415,40015,39844,40903,15422,13899,362,57685,87125,44152,29334,6076,98152,103413,1150,63890,74125,38844,15957,7591,97
264,2021,1,A,골목상권,2110954,강남구 역삼동,국기원,CS100010,커피-음료,2404788303,144156,60,40,11,11,12,12,14,22,18,0,0,19,37,43,1,31,69,4,66,17,5,7,1,1433058021,971730282,258267861,270411046,290129477,278132375,336117262,531476685,440253597,0,7386053,454304548,880272946,1042941131,19883625,748279194,1656509109,93481953,1584980547,416198280,108283954,173772457,28071112,88019,56137,16409,16884,17594,17077,20055,30145,25992,0,749,25055,56602,60301,1449,43684,100472,6583,94156,24316,6830,10480,1791,26
265,2021,2,A,골목상권,2110954,강남구 역삼동,국기원,CS100010,커피-음료,3443758172,212759,61,39,10,12,13,11,14,21,18,0,0,20,34,45,1,30,70,4,64,20,5,6,1,2098632194,1345125978,354569360,409984917,455822913,386288969,491966035,732724277,612401701,0,10023118,681532216,1161564430,1543820620,46817788,1030404966,2413353206,121896296,2204451542,675368825,173220093,221111408,47710008,132175,80584,23336,25031,28537,24530,30741,43408,37176,0,1035,40671,75396,92320,3337,63214,149545,9115,135610,40793,10173,14576,2492,25
