,보증금,월세
0,3000,280
1,1000,55
2,3000,290
3,8000,820
4,1000,50
5,3500,326
6,4000,285
7,1500,85
8,8000,820
9,4000,285
10,1000,70
11,10000,830
12,8000,500
13,2000,120
14,2000,125
15,3650,365
16,10000,500
17,2000,125
18,21012,922
19,3000,250
20,10000,550
21,2000,120
