,보증금,월세
447,10000,800
448,3000,220
449,23000,1900
450,12000,1000
451,20000,700
452,13000,600
453,6000,540
454,5000,400
455,12000,580
456,10000,650
457,16000,1200
458,15000,800
459,6000,550
460,4120,412
461,4000,350
462,12000,950
463,6000,200
464,3000,220
465,20000,800
466,1500,130
467,10000,700
468,3000,120
469,1000,60
470,7000,420
471,5000,220
472,5000,350
473,5000,400
474,10000,900
475,3000,275
476,5000,201
477,5000,430
478,3000,310
479,10000,600
480,2500,170
481,10000,400
482,10000,800
483,17000,700
484,4000,360
485,10000,580
486,5000,315
487,3000,250
488,5000,300
489,4000,400
490,6000,410
491,5000,260
492,30000,1320
493,10000,400
494,15000,900
495,4968,306
496,1700,200
497,2000,100
498,16000,1200
499,2000,310
500,4000,350
501,10000,500
502,100000,4000
503,4120,412
504,30000,1320
505,50000,3950
506,10000,500
507,3723,223
508,2000,110
509,45000,3050
510,20000,1800
511,15000,900
512,10000,800
513,11000,720
514,9000,820
515,30000,1500
516,3000,400
517,17000,700
518,7000,270
519,5000,390
520,4000,250
521,5000,450
522,2000,180
523,2500,180
524,4000,260
525,30000,1500
526,8000,650
527,10000,580
528,6000,200
529,5000,260
530,8000,500
531,10000,500
532,5000,500
533,10000,450
534,7000,420
535,17000,700
536,5000,360
537,40029,3828
538,8000,317
539,6000,200
540,1237,126
541,2000,200
542,2000,110
543,40000,3500
544,10000,850
545,2000,100
546,5000,430
547,2500,220
548,10935,729
549,2000,310
550,13000,1200
551,20000,1000
552,6000,200
553,5000,350
554,20000,1200
555,10000,730
556,20000,600
557,1500,130
558,3000,150
559,5000,350
560,10000,900
561,30000,2400
562,3000,170
563,3000,170
564,5000,320
565,12000,580
566,3500,350
567,3000,140
568,30000,1500
569,5000,400
570,2000,240
571,4000,220
572,8000,650
573,5000,400
574,6000,410
575,1500,130
576,5000,220
577,2000,240
578,10000,526
579,5000,350
580,15000,900
581,100000,6000
582,2000,255
583,10000,600
584,1500,120
585,4000,392
586,2000,180
587,8000,650
588,4000,400
589,3000,280
590,20000,1200
591,12000,800
592,4120,412
593,3800,190
594,6000,410
595,3500,200
596,15000,1200
597,15000,900
598,10000,500
599,5000,350
600,13000,600
601,5000,400
602,23000,1900
603,5000,360
604,5000,500
605,15000,1100
606,30000,1750
607,3000,185
608,1000,97
609,1000,100
610,5000,250
611,15000,800
612,1000,140
613,20000,1200
614,2000,200
615,10000,5000
616,10000,650
617,5000,250
618,5000,360
619,2000,255
620,3000,302
621,15000,1200
622,8000,400
623,3600,420
624,2000,220
625,20000,1200
626,5000,400
627,6000,410
628,3600,420
629,3723,223
630,3500,380
631,6000,410
632,4000,340
633,8000,470
634,20000,1000
635,10000,800
636,50000,4000
637,2000,180
638,10000,500
639,7000,450
640,2000,200
641,13000,1000
642,20000,1200
643,35000,1700
644,10000,468
645,3000,200
646,12000,800
647,4000,350
648,10000,650
649,5000,250
650,30000,1500
651,1000,90
652,35000,2384
653,7000,450
654,2000,220
655,40000,2300
656,5000,500
657,1000,130
658,6000,540
659,3000,200
660,5000,320
661,4000,370
662,3000,250
663,3000,326
664,5000,500
665,2000,200
666,5000,380
667,5000,350
668,15000,1200
669,3000,200
670,10000,550
671,10000,500
672,13000,600
673,7000,330
674,30000,1500
675,10000,897
676,6000,410
677,4000,340
678,37000,1700
679,4000,250
680,30000,1750
681,45000,2625
682,15000,875
683,3000,250
684,5000,450
685,5000,450
686,500,70
687,2000,220
688,23000,1900
689,10000,450
690,8000,425
691,5000,220
692,5000,500
693,5000,220
694,10000,897
695,13000,600
696,100000,6000
697,2000,110
698,5000,450
699,10000,897
700,5000,220
701,25000,990
702,6000,400
703,7000,450
704,11000,800
