,강남구,보증금,월세
1890,강남구 삼성동,5000,380
1891,강남구 삼성동,2000,170
1892,강남구 삼성동,3000,320
1893,강남구 삼성동,7000,450
1894,강남구 삼성동,10000,580
1895,강남구 삼성동,10000,580
1896,강남구 삼성동,20000,800
1897,강남구 삼성동,5000,250
1898,강남구 삼성동,11000,720
1899,강남구 삼성동,2500,180
1900,강남구 삼성동,9500,583
1901,강남구 삼성동,15000,780
1902,강남구 삼성동,15000,780
1903,강남구 삼성동,5000,340
1904,강남구 삼성동,23000,1900
1905,강남구 삼성동,15000,780
1906,강남구 삼성동,5000,200
1907,강남구 삼성동,3723,223
1908,강남구 삼성동,2000,310
1909,강남구 삼성동,10000,600
1910,강남구 삼성동,15000,800
1911,강남구 삼성동,10000,600
1912,강남구 삼성동,11000,800
1913,강남구 삼성동,45000,3050
1914,강남구 삼성동,2000,170
1915,강남구 삼성동,1000,100
1916,강남구 삼성동,2000,200
1917,강남구 삼성동,10000,500
1918,강남구 삼성동,6000,550
1919,강남구 삼성동,6000,410
1920,강남구 삼성동,2000,170
1921,강남구 삼성동,5000,350
1922,강남구 삼성동,3000,250
1923,강남구 삼성동,4000,350
1924,강남구 삼성동,13000,600
1925,강남구 삼성동,15000,1400
1926,강남구 삼성동,700,65
1927,강남구 삼성동,5000,380
1928,강남구 삼성동,5000,430
1929,강남구 삼성동,10000,590
1930,강남구 삼성동,2000,250
1931,강남구 삼성동,5500,480
1932,강남구 삼성동,3000,310
1933,강남구 삼성동,40000,2300
1934,강남구 삼성동,20000,1000
1935,강남구 삼성동,10000,600
1936,강남구 삼성동,30000,1320
1937,강남구 삼성동,20000,1200
1938,강남구 삼성동,4000,392
1939,강남구 삼성동,15000,1400
1940,강남구 삼성동,5000,220
1941,강남구 삼성동,5000,300
1942,강남구 삼성동,2000,255
1943,강남구 삼성동,14000,900
1944,강남구 삼성동,500,70
1945,강남구 삼성동,5000,240
1946,강남구 삼성동,10000,700
1947,강남구 삼성동,2000,264
1948,강남구 삼성동,10000,700
1949,강남구 삼성동,10000,900
1950,강남구 삼성동,5000,320
1951,강남구 삼성동,10000,800
1952,강남구 삼성동,3000,220
1953,강남구 삼성동,23000,1900
1954,강남구 삼성동,12000,1000
1955,강남구 삼성동,20000,700
1956,강남구 삼성동,13000,600
1957,강남구 삼성동,6000,540
1958,강남구 삼성동,5000,400
1959,강남구 삼성동,12000,580
1960,강남구 삼성동,10000,650
1961,강남구 삼성동,16000,1200
1962,강남구 삼성동,15000,800
1963,강남구 삼성동,6000,550
1964,강남구 삼성동,4120,412
1965,강남구 삼성동,4000,350
1966,강남구 삼성동,12000,950
1967,강남구 삼성동,6000,200
1968,강남구 삼성동,3000,220
1969,강남구 삼성동,20000,800
1970,강남구 삼성동,1500,130
1971,강남구 삼성동,10000,700
1972,강남구 삼성동,3000,120
1973,강남구 삼성동,1000,60
1974,강남구 삼성동,7000,420
1975,강남구 삼성동,5000,220
1976,강남구 삼성동,5000,350
1977,강남구 삼성동,5000,400
1978,강남구 삼성동,10000,900
1979,강남구 삼성동,3000,275
1980,강남구 삼성동,5000,201
1981,강남구 삼성동,5000,430
1982,강남구 삼성동,3000,310
1983,강남구 삼성동,10000,600
1984,강남구 삼성동,2500,170
1985,강남구 삼성동,10000,400
1986,강남구 삼성동,10000,800
1987,강남구 삼성동,17000,700
1988,강남구 삼성동,4000,360
1989,강남구 삼성동,10000,580
1990,강남구 삼성동,5000,315
1991,강남구 삼성동,3000,250
1992,강남구 삼성동,5000,300
1993,강남구 삼성동,4000,400
1994,강남구 삼성동,6000,410
1995,강남구 삼성동,5000,260
1996,강남구 삼성동,30000,1320
1997,강남구 삼성동,10000,400
1998,강남구 삼성동,15000,900
1999,강남구 삼성동,4968,306
2000,강남구 삼성동,1700,200
2001,강남구 삼성동,2000,100
2002,강남구 삼성동,16000,1200
2003,강남구 삼성동,2000,310
2004,강남구 삼성동,4000,350
2005,강남구 삼성동,10000,500
2006,강남구 삼성동,100000,4000
2007,강남구 삼성동,4120,412
2008,강남구 삼성동,30000,1320
2009,강남구 삼성동,50000,3950
2010,강남구 삼성동,10000,500
2011,강남구 삼성동,3723,223
2012,강남구 삼성동,2000,110
2013,강남구 삼성동,45000,3050
2014,강남구 삼성동,20000,1800
2015,강남구 삼성동,15000,900
2016,강남구 삼성동,10000,800
2017,강남구 삼성동,11000,720
2018,강남구 삼성동,9000,820
2019,강남구 삼성동,30000,1500
2020,강남구 삼성동,3000,400
2021,강남구 삼성동,17000,700
2022,강남구 삼성동,7000,270
2023,강남구 삼성동,5000,390
2024,강남구 삼성동,4000,250
2025,강남구 삼성동,5000,450
2026,강남구 삼성동,2000,180
2027,강남구 삼성동,2500,180
2028,강남구 삼성동,4000,260
2029,강남구 삼성동,30000,1500
2030,강남구 삼성동,8000,650
2031,강남구 삼성동,10000,580
2032,강남구 삼성동,6000,200
2033,강남구 삼성동,5000,260
2034,강남구 삼성동,8000,500
2035,강남구 삼성동,10000,500
2036,강남구 삼성동,5000,500
2037,강남구 삼성동,10000,450
2038,강남구 삼성동,7000,420
2039,강남구 삼성동,17000,700
2040,강남구 삼성동,5000,360
2041,강남구 삼성동,40029,3828
2042,강남구 삼성동,8000,317
2043,강남구 삼성동,6000,200
2044,강남구 삼성동,1237,126
2045,강남구 삼성동,2000,200
2046,강남구 삼성동,2000,110
2047,강남구 삼성동,40000,3500
2048,강남구 삼성동,10000,850
2049,강남구 삼성동,2000,100
2050,강남구 삼성동,5000,430
2051,강남구 삼성동,2500,220
2052,강남구 삼성동,10935,729
2053,강남구 삼성동,2000,310
2054,강남구 삼성동,13000,1200
2055,강남구 삼성동,20000,1000
2056,강남구 삼성동,6000,200
2057,강남구 삼성동,5000,350
2058,강남구 삼성동,20000,1200
2059,강남구 삼성동,10000,730
2060,강남구 삼성동,20000,600
2061,강남구 삼성동,1500,130
2062,강남구 삼성동,3000,150
2063,강남구 삼성동,5000,350
2064,강남구 삼성동,10000,900
2065,강남구 삼성동,30000,2400
2066,강남구 삼성동,3000,170
2067,강남구 삼성동,3000,170
2068,강남구 삼성동,5000,320
2069,강남구 삼성동,12000,580
2070,강남구 삼성동,3500,350
2071,강남구 삼성동,3000,140
2072,강남구 삼성동,30000,1500
2073,강남구 삼성동,5000,400
2074,강남구 삼성동,2000,240
2075,강남구 삼성동,4000,220
2076,강남구 삼성동,8000,650
2077,강남구 삼성동,5000,400
2078,강남구 삼성동,6000,410
2079,강남구 삼성동,1500,130
2080,강남구 삼성동,5000,220
2081,강남구 삼성동,2000,240
2082,강남구 삼성동,10000,526
2083,강남구 삼성동,5000,350
2084,강남구 삼성동,15000,900
2085,강남구 삼성동,100000,6000
2086,강남구 삼성동,2000,255
2087,강남구 삼성동,10000,600
2088,강남구 삼성동,1500,120
2089,강남구 삼성동,4000,392
2090,강남구 삼성동,2000,180
2091,강남구 삼성동,8000,650
2092,강남구 삼성동,4000,400
2093,강남구 삼성동,3000,280
2094,강남구 삼성동,20000,1200
2095,강남구 삼성동,12000,800
2096,강남구 삼성동,4120,412
2097,강남구 삼성동,3800,190
2098,강남구 삼성동,6000,410
2099,강남구 삼성동,3500,200
2100,강남구 삼성동,15000,1200
2101,강남구 삼성동,15000,900
2102,강남구 삼성동,10000,500
2103,강남구 삼성동,5000,350
2104,강남구 삼성동,13000,600
2105,강남구 삼성동,5000,400
2106,강남구 삼성동,23000,1900
2107,강남구 삼성동,5000,360
2108,강남구 삼성동,5000,500
2109,강남구 삼성동,15000,1100
2110,강남구 삼성동,30000,1750
2111,강남구 삼성동,3000,185
2112,강남구 삼성동,1000,97
2113,강남구 삼성동,1000,100
2114,강남구 삼성동,5000,250
2115,강남구 삼성동,15000,800
2116,강남구 삼성동,1000,140
2117,강남구 삼성동,20000,1200
2118,강남구 삼성동,2000,200
2119,강남구 삼성동,10000,5000
2120,강남구 삼성동,10000,650
2121,강남구 삼성동,5000,250
2122,강남구 삼성동,5000,360
2123,강남구 삼성동,2000,255
2124,강남구 삼성동,3000,302
2125,강남구 삼성동,15000,1200
2126,강남구 삼성동,8000,400
2127,강남구 삼성동,3600,420
2128,강남구 삼성동,2000,220
2129,강남구 삼성동,20000,1200
2130,강남구 삼성동,5000,400
2131,강남구 삼성동,6000,410
2132,강남구 삼성동,3600,420
2133,강남구 삼성동,3723,223
2134,강남구 삼성동,3500,380
2135,강남구 삼성동,6000,410
2136,강남구 삼성동,4000,340
2137,강남구 삼성동,8000,470
2138,강남구 삼성동,20000,1000
2139,강남구 삼성동,10000,800
2140,강남구 삼성동,50000,4000
2141,강남구 삼성동,2000,180
2142,강남구 삼성동,10000,500
2143,강남구 삼성동,7000,450
2144,강남구 삼성동,2000,200
2145,강남구 삼성동,13000,1000
2146,강남구 삼성동,20000,1200
2147,강남구 삼성동,35000,1700
2148,강남구 삼성동,10000,468
2149,강남구 삼성동,3000,200
2150,강남구 삼성동,12000,800
2151,강남구 삼성동,4000,350
2152,강남구 삼성동,10000,650
2153,강남구 삼성동,5000,250
2154,강남구 삼성동,30000,1500
2155,강남구 삼성동,1000,90
2156,강남구 삼성동,35000,2384
2157,강남구 삼성동,7000,450
2158,강남구 삼성동,2000,220
2159,강남구 삼성동,40000,2300
2160,강남구 삼성동,5000,500
2161,강남구 삼성동,1000,130
2162,강남구 삼성동,6000,540
2163,강남구 삼성동,3000,200
2164,강남구 삼성동,5000,320
2165,강남구 삼성동,4000,370
2166,강남구 삼성동,3000,250
2167,강남구 삼성동,3000,326
2168,강남구 삼성동,5000,500
2169,강남구 삼성동,2000,200
2170,강남구 삼성동,5000,380
2171,강남구 삼성동,5000,350
2172,강남구 삼성동,15000,1200
2173,강남구 삼성동,3000,200
2174,강남구 삼성동,10000,550
2175,강남구 삼성동,10000,500
2176,강남구 삼성동,13000,600
2177,강남구 삼성동,7000,330
2178,강남구 삼성동,30000,1500
2179,강남구 삼성동,10000,897
2180,강남구 삼성동,6000,410
2181,강남구 삼성동,4000,340
2182,강남구 삼성동,37000,1700
2183,강남구 삼성동,4000,250
2184,강남구 삼성동,30000,1750
2185,강남구 삼성동,45000,2625
2186,강남구 삼성동,15000,875
2187,강남구 삼성동,3000,250
2188,강남구 삼성동,5000,450
2189,강남구 삼성동,5000,450
2190,강남구 삼성동,500,70
2191,강남구 삼성동,2000,220
2192,강남구 삼성동,23000,1900
2193,강남구 삼성동,10000,450
2194,강남구 삼성동,8000,425
2195,강남구 삼성동,5000,220
2196,강남구 삼성동,5000,500
2197,강남구 삼성동,5000,220
2198,강남구 삼성동,10000,897
2199,강남구 삼성동,13000,600
2200,강남구 삼성동,100000,6000
2201,강남구 삼성동,2000,110
2202,강남구 삼성동,5000,450
2203,강남구 삼성동,10000,897
2204,강남구 삼성동,5000,220
2205,강남구 삼성동,25000,990
2206,강남구 삼성동,6000,400
2207,강남구 삼성동,7000,450
2208,강남구 삼성동,11000,800
2209,강남구 삼성동,13000,1000
2210,강남구 삼성동,3000,240
2211,강남구 삼성동,10000,580
2212,강남구 삼성동,30000,1750
2213,강남구 삼성동,45000,2625
2214,강남구 삼성동,7000,420
2215,강남구 삼성동,3000,300
2216,강남구 삼성동,15000,1200
2217,강남구 삼성동,5000,400
2218,강남구 삼성동,10000,1000
2219,강남구 삼성동,10000,800
2220,강남구 삼성동,5000,220
2221,강남구 삼성동,13000,764
2222,강남구 삼성동,10000,500
2223,강남구 삼성동,3000,220
2224,강남구 삼성동,3000,250
2225,강남구 삼성동,15000,800
2226,강남구 삼성동,5000,400
2227,강남구 삼성동,5000,370
2228,강남구 삼성동,10000,800
2229,강남구 삼성동,8000,380
2230,강남구 삼성동,15000,900
2231,강남구 삼성동,1500,140
2232,강남구 삼성동,5000,320
2233,강남구 삼성동,20000,1200
2234,강남구 삼성동,1000,90
2235,강남구 삼성동,3500,380
2236,강남구 삼성동,33000,2800
2237,강남구 삼성동,5000,500
2238,강남구 삼성동,3500,380
2239,강남구 삼성동,10000,5000
2240,강남구 삼성동,2000,110
2241,강남구 삼성동,1700,66
2242,강남구 삼성동,33000,2800
2243,강남구 삼성동,3000,280
2244,강남구 세곡동,3000,300
2245,강남구 세곡동,1000,70
2246,강남구 세곡동,2500,100
2247,강남구 세곡동,5000,400
2248,강남구 세곡동,10000,700
2249,강남구 세곡동,8000,480
2250,강남구 세곡동,7000,500
2251,강남구 세곡동,15000,450
2252,강남구 세곡동,2500,110
2253,강남구 세곡동,3000,320
2254,강남구 세곡동,5000,400
2255,강남구 세곡동,2500,110
2256,강남구 수서동,3000,280
2257,강남구 수서동,1000,55
2258,강남구 수서동,3000,290
2259,강남구 수서동,8000,820
2260,강남구 수서동,1000,50
2261,강남구 수서동,3500,326
2262,강남구 수서동,4000,285
2263,강남구 수서동,1500,85
2264,강남구 수서동,8000,820
2265,강남구 수서동,4000,285
2266,강남구 수서동,1000,70
2267,강남구 수서동,10000,830
2268,강남구 수서동,8000,500
2269,강남구 수서동,2000,120
2270,강남구 수서동,2000,125
2271,강남구 수서동,3650,365
2272,강남구 수서동,10000,500
2273,강남구 수서동,2000,125
2274,강남구 수서동,21012,922
2275,강남구 수서동,3000,250
2276,강남구 수서동,10000,550
2277,강남구 수서동,2000,120
2278,강남구 신사동,1000,171
2279,강남구 신사동,8000,800
2280,강남구 신사동,20000,850
2281,강남구 신사동,3000,150
2282,강남구 신사동,10000,600
2283,강남구 신사동,5000,500
2284,강남구 신사동,12000,600
2285,강남구 신사동,3000,180
2286,강남구 신사동,6000,750
2287,강남구 신사동,10000,700
2288,강남구 신사동,20000,850
2289,강남구 신사동,3000,250
2290,강남구 신사동,6000,530
2291,강남구 신사동,10000,700
2292,강남구 신사동,5000,300
2293,강남구 신사동,20000,1200
2294,강남구 신사동,1500,110
2295,강남구 신사동,17000,900
2296,강남구 신사동,100000,4500
2297,강남구 신사동,3500,320
2298,강남구 신사동,7000,400
2299,강남구 신사동,30000,1650
2300,강남구 신사동,2000,150
2301,강남구 신사동,18000,1200
2302,강남구 신사동,8000,500
2303,강남구 신사동,10000,800
2304,강남구 신사동,3000,235
2305,강남구 신사동,10000,400
2306,강남구 신사동,65000,2690
2307,강남구 신사동,1500,150
2308,강남구 신사동,8000,500
2309,강남구 신사동,4000,350
2310,강남구 신사동,10000,700
2311,강남구 신사동,5000,270
2312,강남구 신사동,2500,250
2313,강남구 신사동,100000,5000
2314,강남구 신사동,30000,2500
2315,강남구 신사동,50000,4500
2316,강남구 신사동,2500,180
2317,강남구 신사동,13000,600
2318,강남구 신사동,20000,850
2319,강남구 신사동,8000,500
2320,강남구 신사동,10000,400
2321,강남구 신사동,6000,450
2322,강남구 신사동,6000,370
2323,강남구 신사동,3000,320
2324,강남구 신사동,2500,200
2325,강남구 신사동,7000,400
2326,강남구 신사동,2000,150
2327,강남구 신사동,18000,1200
2328,강남구 신사동,4000,300
2329,강남구 신사동,5000,400
2330,강남구 신사동,20000,1100
2331,강남구 신사동,5000,300
2332,강남구 신사동,4000,370
2333,강남구 신사동,10000,900
2334,강남구 신사동,5000,300
2335,강남구 신사동,5000,300
2336,강남구 신사동,10000,800
2337,강남구 신사동,10000,700
2338,강남구 신사동,2000,200
2339,강남구 신사동,18000,1200
2340,강남구 신사동,15000,1250
2341,강남구 신사동,8000,600
2342,강남구 신사동,30000,2500
2343,강남구 신사동,3000,280
2344,강남구 신사동,15000,1250
2345,강남구 신사동,5000,420
2346,강남구 신사동,5000,420
2347,강남구 신사동,7000,500
2348,강남구 신사동,25000,1800
2349,강남구 신사동,3000,168
2350,강남구 신사동,4000,360
2351,강남구 신사동,10000,1500
2352,강남구 신사동,10000,800
2353,강남구 신사동,15000,1250
2354,강남구 신사동,15000,1250
2355,강남구 신사동,2000,210
2356,강남구 신사동,4000,280
2357,강남구 신사동,2000,140
2358,강남구 신사동,40000,4000
2359,강남구 신사동,10000,600
2360,강남구 신사동,7000,350
2361,강남구 신사동,10000,480
2362,강남구 신사동,15000,747
2363,강남구 신사동,8000,380
2364,강남구 신사동,10000,850
2365,강남구 신사동,13000,600
2366,강남구 신사동,3000,150
2367,강남구 신사동,10000,700
2368,강남구 신사동,8000,800
2369,강남구 신사동,1500,120
2370,강남구 신사동,3000,350
2371,강남구 신사동,5000,350
2372,강남구 신사동,5000,400
2373,강남구 신사동,10000,700
2374,강남구 신사동,2000,180
2375,강남구 신사동,3000,280
2376,강남구 신사동,8000,550
2377,강남구 신사동,3000,260
2378,강남구 신사동,5500,400
2379,강남구 신사동,4000,210
2380,강남구 신사동,42000,3500
2381,강남구 신사동,10000,560
2382,강남구 신사동,6000,500
2383,강남구 신사동,2000,100
2384,강남구 신사동,10000,900
2385,강남구 신사동,60000,5000
2386,강남구 신사동,10000,1350
2387,강남구 신사동,15000,746
2388,강남구 신사동,15000,746
2389,강남구 신사동,13000,600
2390,강남구 신사동,18000,1500
2391,강남구 신사동,10000,700
2392,강남구 신사동,20000,1850
2393,강남구 신사동,8000,1700
2394,강남구 신사동,7000,400
2395,강남구 신사동,2000,100
2396,강남구 신사동,5000,350
2397,강남구 신사동,4000,280
2398,강남구 신사동,8000,1700
2399,강남구 신사동,4000,350
2400,강남구 신사동,1000,100
2401,강남구 신사동,7000,400
2402,강남구 신사동,10000,473
2403,강남구 신사동,15000,1250
2404,강남구 신사동,10000,1000
2405,강남구 신사동,42000,3500
2406,강남구 신사동,5000,390
2407,강남구 신사동,4000,310
2408,강남구 신사동,5000,300
2409,강남구 신사동,3000,165
2410,강남구 신사동,1000,280
2411,강남구 신사동,5000,300
2412,강남구 신사동,5500,270
2413,강남구 신사동,20000,1200
2414,강남구 신사동,50000,4500
2415,강남구 신사동,100000,5200
2416,강남구 신사동,1000,140
2417,강남구 신사동,10000,425
2418,강남구 신사동,10000,550
2419,강남구 신사동,100000,8000
2420,강남구 신사동,50000,4500
2421,강남구 신사동,2000,150
2422,강남구 신사동,5000,300
2423,강남구 신사동,10000,1000
2424,강남구 신사동,5000,300
2425,강남구 신사동,10000,700
2426,강남구 신사동,5000,242
2427,강남구 신사동,5000,388
2428,강남구 신사동,30000,1800
2429,강남구 신사동,3000,270
2430,강남구 신사동,5000,400
2431,강남구 신사동,10000,700
2432,강남구 신사동,50000,4500
2433,강남구 신사동,10000,600
2434,강남구 신사동,6000,360
2435,강남구 신사동,8000,550
2436,강남구 신사동,3000,250
2437,강남구 신사동,80000,4000
2438,강남구 신사동,4000,350
2439,강남구 신사동,10000,700
2440,강남구 신사동,100000,4000
2441,강남구 신사동,5000,380
2442,강남구 신사동,4000,400
2443,강남구 신사동,3000,245
2444,강남구 신사동,20000,1500
2445,강남구 신사동,4000,210
2446,강남구 신사동,200000,12000
2447,강남구 신사동,10000,900
2448,강남구 신사동,10000,700
2449,강남구 신사동,20000,1250
2450,강남구 신사동,10000,700
2451,강남구 신사동,15000,900
2452,강남구 신사동,4000,410
2453,강남구 신사동,8000,1700
2454,강남구 신사동,10000,700
2455,강남구 신사동,150000,7000
2456,강남구 신사동,35000,2000
2457,강남구 신사동,10000,700
2458,강남구 신사동,4000,200
2459,강남구 신사동,2000,200
2460,강남구 신사동,17000,1500
2461,강남구 신사동,13000,800
2462,강남구 신사동,7000,350
2463,강남구 신사동,5000,450
2464,강남구 신사동,5000,390
2465,강남구 신사동,30000,750
2466,강남구 신사동,3000,300
2467,강남구 신사동,10000,370
2468,강남구 신사동,3000,300
2469,강남구 신사동,7000,350
2470,강남구 신사동,10000,900
2471,강남구 신사동,2000,160
2472,강남구 신사동,10000,850
2473,강남구 신사동,7000,450
2474,강남구 신사동,10000,500
2475,강남구 신사동,5000,300
2476,강남구 신사동,8000,550
2477,강남구 신사동,40000,2500
2478,강남구 신사동,4200,400
2479,강남구 신사동,1000,100
2480,강남구 신사동,10000,1350
2481,강남구 신사동,30000,2500
2482,강남구 신사동,5000,388
2483,강남구 신사동,6000,550
2484,강남구 신사동,50000,4500
2485,강남구 신사동,10000,850
2486,강남구 신사동,10000,370
2487,강남구 신사동,2000,230
2488,강남구 신사동,4000,350
2489,강남구 신사동,15000,1000
2490,강남구 신사동,7000,400
2491,강남구 신사동,2000,240
2492,강남구 신사동,10000,1000
2493,강남구 신사동,3000,300
2494,강남구 신사동,3000,120
2495,강남구 신사동,42000,3500
2496,강남구 신사동,50000,2000
2497,강남구 신사동,1000,280
2498,강남구 신사동,50000,5000
2499,강남구 신사동,10000,600
2500,강남구 신사동,5000,380
2501,강남구 신사동,50000,3300
2502,강남구 신사동,100000,8000
2503,강남구 신사동,10000,700
2504,강남구 신사동,3000,300
2505,강남구 신사동,3000,200
2506,강남구 신사동,3000,270
2507,강남구 신사동,40000,3300
2508,강남구 신사동,10000,700
2509,강남구 신사동,5000,400
2510,강남구 신사동,6000,380
2511,강남구 신사동,30000,3000
2512,강남구 신사동,20000,1800
2513,강남구 신사동,3000,280
2514,강남구 신사동,29000,2900
2515,강남구 신사동,5000,200
2516,강남구 신사동,2000,200
2517,강남구 신사동,10000,680
2518,강남구 신사동,50000,6000
2519,강남구 신사동,15000,746
2520,강남구 신사동,9265,927
2521,강남구 신사동,5413,541
2522,강남구 신사동,40000,2500
2523,강남구 신사동,60000,5000
2524,강남구 신사동,4451,445
2525,강남구 신사동,10940,1094
2526,강남구 신사동,10000,490
2527,강남구 신사동,15000,746
2528,강남구 신사동,30000,2742
2529,강남구 신사동,12184,1218
2530,강남구 신사동,11927,1193
2531,강남구 신사동,7000,350
2532,강남구 신사동,31028,3102
2533,강남구 신사동,10000,700
2534,강남구 신사동,10000,500
2535,강남구 신사동,10000,425
2536,강남구 신사동,15000,1000
2537,강남구 신사동,40791,4079
2538,강남구 신사동,11086,1109
2539,강남구 신사동,10000,530
2540,강남구 신사동,27415,2741
2541,강남구 신사동,15000,746
2542,강남구 신사동,5805,581
2543,강남구 신사동,30000,3000
2544,강남구 신사동,25000,1200
2545,강남구 신사동,25000,1200
2546,강남구 신사동,150000,11000
2547,강남구 신사동,10000,1500
2548,강남구 신사동,200000,12000
2549,강남구 신사동,60000,5000
2550,강남구 신사동,13528,1353
2551,강남구 신사동,50000,4500
2552,강남구 신사동,150000,11000
2553,강남구 신사동,17501,1750
2554,강남구 신사동,50000,4000
2555,강남구 신사동,35590,3559
2556,강남구 신사동,3000,110
2557,강남구 신사동,8000,1700
2558,강남구 신사동,5500,480
2559,강남구 신사동,12500,470
2560,강남구 신사동,5000,450
2561,강남구 신사동,3000,270
2562,강남구 신사동,10000,840
2563,강남구 신사동,6000,370
2564,강남구 신사동,5000,358
2565,강남구 신사동,50000,2400
2566,강남구 신사동,10000,600
2567,강남구 신사동,8000,800
2568,강남구 신사동,10000,850
2569,강남구 신사동,20000,2000
2570,강남구 신사동,10000,1350
2571,강남구 신사동,3500,230
2572,강남구 신사동,6000,530
2573,강남구 신사동,3000,250
2574,강남구 신사동,50000,3000
2575,강남구 신사동,200000,12000
2576,강남구 신사동,2000,150
2577,강남구 신사동,5000,350
2578,강남구 신사동,8000,1700
2579,강남구 신사동,15000,1250
2580,강남구 신사동,3000,150
2581,강남구 신사동,3000,350
2582,강남구 신사동,15000,1000
2583,강남구 신사동,5000,300
2584,강남구 신사동,10000,700
2585,강남구 신사동,4000,297
2586,강남구 신사동,15000,1250
2587,강남구 신사동,6000,500
2588,강남구 신사동,10000,1300
2589,강남구 신사동,80000,7000
2590,강남구 신사동,5000,420
2591,강남구 신사동,500,76
2592,강남구 신사동,5000,351
2593,강남구 신사동,20000,2000
2594,강남구 신사동,3000,180
2595,강남구 신사동,5000,350
2596,강남구 신사동,5000,460
2597,강남구 신사동,8000,800
2598,강남구 신사동,14000,1240
2599,강남구 신사동,15000,900
2600,강남구 신사동,2300,200
2601,강남구 신사동,6500,330
2602,강남구 신사동,10000,800
2603,강남구 신사동,10000,480
2604,강남구 신사동,20000,1500
2605,강남구 신사동,4000,300
2606,강남구 신사동,10000,800
2607,강남구 신사동,2000,150
2608,강남구 신사동,5500,295
2609,강남구 신사동,7000,600
2610,강남구 신사동,5000,380
2611,강남구 신사동,15000,1300
2612,강남구 신사동,2000,150
2613,강남구 신사동,15000,1250
2614,강남구 신사동,150000,7000
2615,강남구 신사동,20000,2000
2616,강남구 신사동,4500,240
2617,강남구 신사동,3500,270
2618,강남구 신사동,10000,480
2619,강남구 신사동,3000,370
2620,강남구 신사동,18000,1500
2621,강남구 신사동,2000,270
2622,강남구 신사동,10000,600
2623,강남구 신사동,30000,1800
2624,강남구 신사동,5000,350
2625,강남구 신사동,4000,390
2626,강남구 신사동,3000,270
2627,강남구 신사동,150000,11000
2628,강남구 신사동,5000,230
2629,강남구 신사동,3000,330
2630,강남구 신사동,30000,1500
2631,강남구 신사동,5000,351
2632,강남구 신사동,10000,600
2633,강남구 신사동,10000,690
2634,강남구 신사동,6000,550
2635,강남구 신사동,30000,1600
2636,강남구 신사동,20000,1500
2637,강남구 신사동,10000,600
2638,강남구 신사동,100000,5200
2639,강남구 신사동,10000,700
2640,강남구 신사동,20000,1250
2641,강남구 신사동,7000,280
2642,강남구 신사동,30000,1600
2643,강남구 신사동,10000,700
2644,강남구 신사동,2000,160
2645,강남구 신사동,4000,370
2646,강남구 신사동,7000,400
2647,강남구 신사동,60000,5000
2648,강남구 신사동,25000,2000
2649,강남구 신사동,7000,600
2650,강남구 신사동,50000,3000
2651,강남구 신사동,20000,1800
2652,강남구 신사동,15000,1000
2653,강남구 신사동,30000,2800
2654,강남구 신사동,10000,500
2655,강남구 신사동,8000,490
2656,강남구 신사동,2500,200
2657,강남구 신사동,20000,2000
2658,강남구 신사동,5000,460
2659,강남구 신사동,10000,1350
2660,강남구 신사동,2000,160
2661,강남구 신사동,40000,3450
2662,강남구 신사동,2000,140
2663,강남구 신사동,1000,100
2664,강남구 신사동,150000,11000
2665,강남구 신사동,4000,210
2666,강남구 신사동,2000,190
2667,강남구 신사동,10000,800
2668,강남구 신사동,10000,800
2669,강남구 신사동,15000,830
2670,강남구 신사동,13000,600
2671,강남구 신사동,3000,330
2672,강남구 신사동,3000,153
2673,강남구 신사동,8500,530
2674,강남구 신사동,5000,450
2675,강남구 신사동,7000,350
2676,강남구 신사동,2000,150
2677,강남구 신사동,5000,300
2678,강남구 신사동,15000,1200
2679,강남구 신사동,8000,550
2680,강남구 신사동,50000,4500
2681,강남구 신사동,10000,400
2682,강남구 신사동,5000,400
2683,강남구 신사동,10000,800
2684,강남구 신사동,5000,300
2685,강남구 신사동,30000,1650
2686,강남구 신사동,1000,110
2687,강남구 신사동,10000,425
2688,강남구 신사동,7000,450
2689,강남구 신사동,7000,300
2690,강남구 신사동,6000,470
2691,강남구 신사동,5000,290
2692,강남구 신사동,10000,850
2693,강남구 신사동,30000,2500
2694,강남구 신사동,3000,300
2695,강남구 신사동,1500,110
2696,강남구 신사동,30000,1500
2697,강남구 신사동,10000,1350
2698,강남구 신사동,7000,600
2699,강남구 신사동,4000,300
2700,강남구 신사동,2000,150
2701,강남구 신사동,3000,250
2702,강남구 신사동,20000,1250
2703,강남구 신사동,2500,240
2704,강남구 신사동,10000,900
2705,강남구 신사동,10000,400
2706,강남구 신사동,8000,7000
2707,강남구 신사동,30000,1200
2708,강남구 신사동,5000,300
2709,강남구 신사동,20000,2000
2710,강남구 신사동,10000,500
2711,강남구 신사동,500,76
2712,강남구 신사동,20000,850
2713,강남구 신사동,2000,240
2714,강남구 신사동,4000,400
2715,강남구 신사동,15000,1000
2716,강남구 신사동,8000,500
2717,강남구 신사동,10000,425
2718,강남구 신사동,10000,700
2719,강남구 신사동,2500,150
2720,강남구 신사동,5000,460
2721,강남구 신사동,5500,480
2722,강남구 신사동,8000,800
2723,강남구 신사동,20000,2000
2724,강남구 신사동,3500,320
2725,강남구 신사동,2500,250
2726,강남구 신사동,2000,150
2727,강남구 신사동,15290,1529
2728,강남구 신사동,70000,6000
